ADDR_PCT_CD,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,LAW_CAT_CD,RPT_DT,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,PREM_TYP_DESC
34,4/23/21,16,4/23/21,16,VIOLATION,4/23/21,25-44,WHITE HISPANIC,M,25-44,WHITE HISPANIC,F,1008513,257172,40.87252707,-73.91227104,HOSPITAL
34,4/12/21,12,4/12/21,12,VIOLATION,4/16/21,25-44,ASIAN / PACIFIC ISLANDER,M,25-44,BLACK HISPANIC,M,1007938,256506,40.87070066,-73.91435249,COMMERCIAL BUILDING
34,5/17/21,2,5/17/21,2,FELONY,5/17/21,45-64,BLACK,M,25-44,WHITE HISPANIC,M,1007708,256090,40.86955949,-73.91518556,SUBWAY
34,5/2/21,20,5/2/21,20,MISDEMEANOR,5/2/21,25-44,WHITE HISPANIC,F,25-44,BLACK HISPANIC,F,1007618,256301,40.87013885,-73.91551023,BAR/NIGHT CLUB
34,2/20/21,23,2/20/21,23,MISDEMEANOR,2/21/21,25-44,BLACK HISPANIC,F,25-44,WHITE HISPANIC,F,1007445,255616,40.8682592,-73.91613811,STREET
34,3/20/21,10,3/20/21,11,FELONY,3/20/21,45-64,WHITE,F,45-64,BLACK HISPANIC,M,1007383,256470,40.87060333,-73.91635933,APT. HOUSE
34,6/19/21,0,6/19/21,0,FELONY,6/19/21,18-24,BLACK,M,25-44,BLACK HISPANIC,M,1007243,255731,40.86857536,-73.91686806,APT. HOUSE
34,2/14/21,1,2/14/21,2,FELONY,2/14/21,25-44,BLACK,M,45-64,WHITE,M,1007161,255925,40.86910805,-73.91716388,COMMERCIAL BUILDING
34,6/26/21,16,6/26/21,16,VIOLATION,6/26/21,18-24,WHITE HISPANIC,F,25-44,WHITE HISPANIC,F,1007161,255925,40.86910805,-73.91716388,GROCERY
34,1/1/21,16,1/1/21,17,MISDEMEANOR,1/1/21,18-24,BLACK,M,45-64,WHITE,M,1007077,256710,40.87126285,-73.91746492,APT. HOUSE
34,3/12/21,11,3/12/21,12,MISDEMEANOR,3/12/21,18-24,WHITE HISPANIC,M,18-24,WHITE HISPANIC,F,1007048,255545,40.86806536,-73.91757374,APT. HOUSE
34,4/11/21,20,4/11/21,20,VIOLATION,4/11/21,<18,WHITE,M,45-64,WHITE,M,1006965,256977,40.87199597,-73.91786897,APT. HOUSE
34,6/17/21,17,6/17/21,17,FELONY,6/17/21,18-24,BLACK HISPANIC,F,25-44,WHITE HISPANIC,M,1006930,254095,40.86408585,-73.91800528,STREET
34,5/11/21,10,5/11/21,10,MISDEMEANOR,5/11/21,25-44,WHITE HISPANIC,M,45-64,BLACK,M,1006930,254095,40.86408585,-73.91800528,STREET
34,5/11/21,10,5/11/21,10,MISDEMEANOR,5/11/21,25-44,WHITE HISPANIC,M,25-44,WHITE,M,1006930,254095,40.86408585,-73.91800528,STREET
34,3/20/21,17,3/21/21,0,VIOLATION,3/21/21,25-44,WHITE HISPANIC,F,65+,BLACK HISPANIC,M,1006833,254778,40.86596073,-73.91835367,APT. HOUSE
34,3/26/21,17,3/26/21,18,VIOLATION,3/28/21,18-24,WHITE HISPANIC,M,<18,WHITE HISPANIC,F,1006797,253850,40.86341374,-73.91848695,APT. HOUSE
34,1/7/21,2,1/7/21,2,VIOLATION,1/7/21,45-64,WHITE HISPANIC,M,25-44,WHITE HISPANIC,F,1006797,253850,40.86341374,-73.91848695,APT. HOUSE
34,3/20/21,15,3/20/21,15,MISDEMEANOR,3/22/21,45-64,BLACK HISPANIC,M,25-44,WHITE HISPANIC,F,1006705,255316,40.8674377,-73.91881464,APT. HOUSE
34,6/30/21,23,6/30/21,23,MISDEMEANOR,6/30/21,18-24,WHITE HISPANIC,F,18-24,BLACK,M,1006705,255316,40.8674377,-73.91881464,APT. HOUSE
34,6/29/21,9,6/29/21,10,MISDEMEANOR,6/29/21,25-44,BLACK HISPANIC,M,25-44,WHITE HISPANIC,F,1006705,255316,40.8674377,-73.91881464,GYM/FITNESS FACILITY
34,3/1/21,23,3/1/21,23,MISDEMEANOR,3/2/21,18-24,WHITE HISPANIC,F,18-24,WHITE HISPANIC,F,1006680,255085,40.86680374,-73.9189058,APT. HOUSE
34,2/15/21,22,2/22/21,22,VIOLATION,3/3/21,25-44,WHITE HISPANIC,M,25-44,WHITE HISPANIC,F,1006680,255085,40.86680374,-73.9189058,APT. HOUSE
34,6/2/21,23,6/2/21,23,FELONY,6/3/21,25-44,BLACK HISPANIC,M,25-44,BLACK HISPANIC,M,1006680,255085,40.86680374,-73.9189058,APT. HOUSE
34,4/30/21,20,4/30/21,20,FELONY,5/1/21,18-24,BLACK HISPANIC,M,18-24,WHITE HISPANIC,M,1006670,254235,40.86447077,-73.9189448,SUBWAY
34,5/12/21,18,5/12/21,18,FELONY,5/12/21,25-44,BLACK,F,25-44,BLACK,M,1006610,255632,40.86830527,-73.91915706,RESTAURANT
34,6/29/21,8,6/29/21,8,VIOLATION,6/29/21,45-64,BLACK HISPANIC,M,45-64,WHITE HISPANIC,F,1006605,254113,40.86413609,-73.91918021,APT. HOUSE
34,1/18/21,0,1/18/21,0,MISDEMEANOR,1/18/21,25-44,WHITE HISPANIC,M,25-44,WHITE HISPANIC,M,1006605,254113,40.86413609,-73.91918021,STREET
