ADDR_PCT_CD,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,LAW_CAT_CD,RPT_DT,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
17,03/26/2021,15,03/26/2021,16,MISDEMEANOR,03/26/2021,18-24,BLACK HISPANIC,M,25-44,WHITE HISPANIC,M,992245,215005,40.75682017,-73.97114326
5,03/28/2021,13,03/28/2021,14,FELONY,03/28/2021,25-44,BLACK,M,25-44,WHITE,F,984994,203338,40.72480073,-73.99731725
19,03/26/2021,22,03/26/2021,22,FELONY,03/26/2021,25-44,WHITE HISPANIC,M,45-64,WHITE HISPANIC,M,998908,225000,40.7842453,-73.94707118
14,03/23/2021,17,03/23/2021,18,MISDEMEANOR,03/23/2021,25-44,BLACK,F,25-44,BLACK,F,988546,214963,40.75670746,-73.98449494
6,03/29/2021,22,03/29/2021,22,MISDEMEANOR,03/30/2021,45-64,ASIAN / PACIFIC ISLANDER,F,45-64,ASIAN / PACIFIC ISLANDER,M,986238,205515,40.73077588,-73.99282851
32,03/24/2021,10,03/24/2021,10,VIOLATION,03/24/2021,45-64,BLACK,F,25-44,WHITE HISPANIC,F,1001752,241629,40.82988214,-73.9367581
33,03/26/2021,18,03/26/2021,18,MISDEMEANOR,03/26/2021,18-24,WHITE HISPANIC,M,18-24,WHITE HISPANIC,F,1000480,243059,40.83380951,-73.941351
28,03/22/2021,15,03/22/2021,16,MISDEMEANOR,03/22/2021,18-24,ASIAN / PACIFIC ISLANDER,M,18-24,WHITE,M,997800,229887,40.79766057,-73.95106232
1,03/25/2021,13,03/25/2021,13,MISDEMEANOR,03/25/2021,18-24,BLACK,M,18-24,ASIAN / PACIFIC ISLANDER,F,979398,197669,40.70923938,-74.01750238
24,03/29/2021,20,03/29/2021,20,FELONY,03/29/2021,<18,BLACK,F,<18,BLACK,F,994640,231610,40.80239402,-73.96247277
14,03/28/2021,17,03/28/2021,17,FELONY,03/28/2021,25-44,BLACK,M,25-44,BLACK,F,988461,211832,40.7481137,-73.98480371
14,06/29/2019,17,06/30/2019,5,FELONY,03/29/2021,25-44,BLACK,M,18-24,BLACK,F,985679,213954,40.75393894,-73.99484365
6,03/27/2021,16,03/27/2021,16,VIOLATION,03/27/2021,25-44,BLACK,M,25-44,WHITE,M,984234,204728,40.72861598,-74.00005917
14,03/29/2021,12,03/29/2021,12,MISDEMEANOR,03/29/2021,25-44,WHITE HISPANIC,M,25-44,WHITE HISPANIC,M,988555,210445,40.74430668,-73.98446534
26,03/17/2021,15,03/17/2021,15,VIOLATION,03/23/2021,25-44,BLACK,M,65+,WHITE,M,996937,235523,40.81313112,-73.95416861
9,03/31/2021,16,03/31/2021,16,MISDEMEANOR,03/31/2021,25-44,BLACK,M,25-44,BLACK,F,991258,203594,40.72550065,-73.97471775
13,03/30/2021,22,03/30/2021,22,VIOLATION,03/30/2021,65+,ASIAN / PACIFIC ISLANDER,M,65+,WHITE,F,987849,207041,40.73496386,-73.98701501
23,03/29/2021,17,03/29/2021,21,FELONY,03/31/2021,25-44,BLACK,M,45-64,BLACK,M,999218,230194,40.79850092,-73.94594019
14,03/21/2021,11,03/21/2021,12,VIOLATION,03/24/2021,25-44,BLACK,M,25-44,WHITE,M,986051,214231,40.75469917,-73.99350089
9,03/24/2021,22,03/24/2021,22,VIOLATION,03/24/2021,25-44,WHITE,M,25-44,BLACK,F,987119,203736,40.72589271,-73.98965051
14,03/27/2021,0,03/27/2021,1,MISDEMEANOR,03/27/2021,18-24,WHITE,M,18-24,WHITE,F,987168,213465,40.75259639,-73.98946951
23,03/18/2021,11,03/18/2021,11,VIOLATION,03/24/2021,45-64,WHITE HISPANIC,M,45-64,WHITE HISPANIC,F,999056,228277,40.79323954,-73.94652952
33,03/29/2021,15,03/29/2021,16,FELONY,03/29/2021,25-44,BLACK,M,25-44,BLACK,F,1000162,242490,40.83224834,-73.94250151
32,03/29/2021,11,03/30/2021,0,VIOLATION,03/30/2021,25-44,BLACK,M,25-44,BLACK,F,1001973,239956,40.82528979,-73.93596394
20,03/23/2021,23,03/23/2021,23,MISDEMEANOR,03/24/2021,25-44,WHITE,M,25-44,WHITE,F,989614,220678,40.77239308,-73.98063541
9,03/31/2021,4,03/31/2021,8,MISDEMEANOR,03/31/2021,18-24,BLACK,M,45-64,BLACK,F,989299,202385,40.72218357,-73.98178641
23,03/23/2021,15,03/23/2021,15,VIOLATION,03/23/2021,45-64,BLACK,F,25-44,BLACK,F,999998,226211,40.7875673,-73.94313233
9,03/23/2021,20,03/23/2021,20,MISDEMEANOR,03/23/2021,18-24,BLACK,M,45-64,WHITE HISPANIC,M,991825,203533,40.72533275,-73.97267218
9,03/24/2021,1,03/24/2021,1,FELONY,03/24/2021,25-44,WHITE HISPANIC,M,25-44,WHITE,F,988895,203185,40.7243796,-73.98324335
32,03/28/2021,14,03/28/2021,14,VIOLATION,03/28/2021,25-44,BLACK,M,25-44,ASIAN / PACIFIC ISLANDER,F,1000153,235084,40.81192099,-73.94255158
18,03/30/2021,9,03/30/2021,9,MISDEMEANOR,03/30/2021,25-44,BLACK,M,45-64,BLACK,M,988902,215659,40.75861762,-73.98320947
14,03/23/2021,15,03/23/2021,15,MISDEMEANOR,03/23/2021,25-44,BLACK,M,45-64,BLACK,F,987897,211692,40.74772968,-73.98683929
28,03/25/2021,15,03/25/2021,15,VIOLATION,03/25/2021,25-44,WHITE,M,45-64,BLACK,M,997925,231944,40.80330628,-73.95060667
32,03/29/2021,15,03/29/2021,15,FELONY,03/29/2021,18-24,BLACK,M,<18,BLACK,F,1001021,238518,40.82134475,-73.93940734
23,03/26/2021,18,03/26/2021,18,VIOLATION,03/29/2021,65+,BLACK,M,45-64,BLACK,F,998272,229012,40.7952582,-73.94935941
24,03/25/2021,16,03/25/2021,16,VIOLATION,03/25/2021,45-64,BLACK,M,45-64,WHITE HISPANIC,F,992739,226303,40.78782977,-73.96934589
23,03/25/2021,12,03/25/2021,12,VIOLATION,03/25/2021,18-24,BLACK,M,45-64,BLACK,M,999453,228508,40.7938729,-73.94509523
